cam_no,timestamp,object_id,image_path
2,2024-11-23 21:38:57,0,cam2/20241123_213857_0.jpg
1,2024-11-23 21:38:58,0,cam1/20241123_213858_0.jpg
2,2024-11-23 21:40:03,0,cam2/20241123_214003_0.jpg
1,2024-11-23 21:40:04,0,cam1/20241123_214004_0.jpg
2,2024-11-23 21:40:10,1,cam2/20241123_214010_1.jpg
2,2024-11-23 21:40:24,2,cam2/20241123_214024_2.jpg
2,2024-11-23 21:41:00,0,cam2/20241123_214100_0.jpg
1,2024-11-23 21:41:01,0,cam1/20241123_214101_0.jpg
2,2024-11-23 21:41:07,1,cam2/20241123_214107_1.jpg
2,2024-11-23 21:42:43,0,cam2/20241123_214243_0.jpg
1,2024-11-23 21:42:44,0,cam1/20241123_214244_0.jpg
2,2024-11-23 21:43:58,0,cam2/20241123_214358_0.jpg
1,2024-11-23 21:43:59,0,cam1/20241123_214359_0.jpg
2,2024-11-23 21:44:09,1,cam2/20241123_214409_1.jpg
1,2024-11-23 21:51:36,0,cam1/20241123_215136_0.jpg
2,2024-11-23 21:51:49,0,cam2/20241123_215149_0.jpg
2,2024-11-23 21:52:25,1,cam2/20241123_215225_1.jpg
2,2024-11-23 21:53:54,1,cam2/20241123_215354_1.jpg
2,2024-11-23 21:53:54,0,cam2/20241123_215354_0.jpg
1,2024-11-23 21:53:57,0,cam1/20241123_215357_0.jpg
2,2024-11-23 21:53:57,2,cam2/20241123_215357_2.jpg
2,2024-11-23 21:54:01,3,cam2/20241123_215401_3.jpg
2,2024-11-23 21:54:04,4,cam2/20241123_215404_4.jpg
2,2024-11-23 21:54:06,5,cam2/20241123_215406_5.jpg
2,2024-11-23 21:54:43,6,cam2/20241123_215443_6.jpg
1,2024-11-23 21:55:02,2,cam1/20241123_215502_2.jpg
2,2024-11-23 21:55:17,7,cam2/20241123_215517_7.jpg
1,2024-11-23 21:56:14,1,cam1/20241123_215614_1.jpg
2,2024-11-23 21:59:04,0,cam2/20241123_215904_0.jpg
1,2024-11-23 21:59:06,0,cam1/20241123_215906_0.jpg
2,2024-11-23 21:59:07,1,cam2/20241123_215907_1.jpg
2,2024-11-23 21:59:11,2,cam2/20241123_215911_2.jpg
2,2024-11-23 21:59:24,3,cam2/20241123_215924_3.jpg
2,2024-11-23 21:59:50,4,cam2/20241123_215950_4.jpg
2,2024-11-23 22:00:42,0,cam2/20241123_220042_0.jpg
1,2024-11-23 22:00:44,0,cam1/20241123_220044_0.jpg
2,2024-11-23 22:01:00,2,cam2/20241123_220100_2.jpg
2,2024-11-23 22:01:02,1,cam2/20241123_220102_1.jpg
